,estate_object_name,construction_adress
0,Татьянин парк,"Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644)"
1,Ново-Никольское,"п. Первомайское, вблизи д. Ивановское, уч.1/1, ГП №6"
2,Некрасовка Парк,"ЮВАО, район Некрасовка, квартал 7, корпус 3, секция 2, квартира № 128"
3,Garden Park Эдальго,"г. Москва, НАО, поселение Сосенское, Коммунарка пос., участок 282Ю, корпус 2,"
5,Коммунарка 5,"Московская область, Ленинский муниципальный район, сельское поселение Сосенское, пос. Коммунарка, корп. 1"
6, Переделкино Ближнее,"Москва, НАО, дом 3, уч. 13/2, секция 3, проектный номер 168"
7,Переделкино Ближнее,"Москва, НАО, поселение Внуковское, Рассказовка дер., уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, по СПОЗУ №8, секция 2, этаж 8, проектный номер 91, номер на площадке 3"
10,Бунинский,"НАО,пос.Сосенское,д.Столбово,уч.27,корп.16,усл.№93"
12,Борисоглебское,"квартира находится на земельном участке с кадастровым номером 50:26:0140503:43 по адресу Москва,п Новофедоровское,д Зверево,дом171,секция В"
13,Новые Ватутинки,"Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, д.81"
15,Солнцево-парк,"поселение Внуковское, д. Пыхтино, уч. 6/1, корпус 14"
16,Новое Бутово,нао пос воскресенское дер язово корп 9 кв 45
22,LIFE-Митинская,"г. Москва, СЗАО, район Митино, улица Митинская, корпус В, кв. 417"
26,Вершинино,"г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 1,  5 этаж, секция 1, № на площадке 4"
28, Новые Ватутинки,"Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 37."
29, Первый Московский,"НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, секция 9подъезд) 5, проектный номер 313, № на площадке 4."
31,Лайнер,"Хорошевское ш., вл.38А (восточный участок)"
40,Москва А101,"Москва, НАО, поселение Сосенское, посёлок Газопровод, корп. 16"
44,Английский квартал,"ул. Мытная, дом 7, стр. 1, номер 38"
46,Ривер Парк,"г. Москва, ул. Речников, вл. 7, корпус 10, квартира 168"
65, Зеленый бор,"г. Москва, г. Зеленоград, ул. Радио, корпус 2305, квартира № 35"
66,Троицкая Ривьера,"г.о. Троицк, ул. Заречная, строительный номер 8 (дом №2)"
71,Первый Московский,"Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1 в составе жилой застройки на земельных участках тепличного комбината № 1 (согласно Постановлениям Правительства Москвы от 25 июля 2012 г. № 352-ПП и от 25 июля 2012 года № 353-ПП а"
72,Альбатрос,"г. Москва, ул. Твардовского, дом 12, корп. 3, кв.493"
99,Зеленый бор,"г.Москва, г.Зеленоград, корпус 2303 , кв. 25"
100,Вяземское,"г. Москва, поселение Сосенское, д. Николо-Хованское"
101,Лобачевский,"Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118, корпус 3, квартира 66"
133, Новое Бутово,"г. Москва, поселение Воскресенское, д. Язово, корпус 5, квартира 239"
144, Солнцево парк,"поселение Внуковское, д. Пыхтино, уч. 6/1, корпус 12"
148,Апарт-отель YE`S ,"г. Москва, СЗАО, ул. Митинская, вл. 16."
161,Эмеральд,"Ленинский проспект, вл. 105"
171,М-Хаус,"Москва ЮАО район Чертано Южное Кировоградская улица вл. 25 стр. 1,2 № квартиры 77 секция 1"
185,LIFE-Сходненская,": г. Москва, Химкинский бульвар, дом 14, корпус 3 (строительный адрес: г. Москва, СЗАО, улица Свободы, вл. 63; Химкинский бульвар вл. 10 А; Химкинский бульвар вл. 10, корп. 2)"
186,Red Side,"Москва, ЦАО, район Пресненский, улица Сергея Макеева, вл. 9, ул. 2-я Черногрязская, вл. 6, Корпус № 7, подъезд № 3, лестничный блок 301, этаж 3 , условный номер Квартиры: 828 (восемьсот двадцать восемь), порядковый номер Квартиры на этаже: 1"
192,Виноградный,"Измайловский проезд, владение 1, корпус 1, квартира № 93"
231,Бутовские аллеи,"г. Москва, НАО, п. Сосенское, вблизи д. Столбово, жилые дом № 17, секция 3, условный № кв. 75.  Кад. № 50:21:120311:0194."
236,ФЛОТИЛИЯ,"г. Москва, САО, ул. Ляпидевского, вл.1 в корпусе № 3 на 22 этаже,  условный номер на этаже № 3"
258,24608,"ЖК ""Рутаун"""
298,Кристалл,"район Левобережный, микрорайон 2В, корпус 8 а"
361,Белый парк,"город Москва, Северный административный округ, район Левобережный, микрорайон № 2А, корпус 41-42-43"
385,Кронбург,"Ленинский р-н, с.п. Воскресенское, д. Губкино, ул. Кронбургская, владение 16"
394,Коммунарка 6,г Ленинский район г с/п Сосенское п пос. Коммунарка
